"3A_Code","Taxonomic_Code","Identifier","Name_En","Name_Fr","Name_Es","Name_Ar","Name_Cn","Name_Ru","Scientific_Name","Author","Major_Group","Yearbook_Group_En","Yearbook_Group_Fr","Yearbook_Group_Es","Yearbook_Group_Ar","Yearbook_Group_Cn","Yearbook_Group_Ru","ISSCAAP_Group_En","ISSCAAP_Group_Fr","ISSCAAP_Group_Es","ISSCAAP_Group_Ar","ISSCAAP_Group_Cn","ISSCAAP_Group_Ru","CPC_Class_En","CPC_Class_Fr","CPC_Class_Es","CPC_Class_Ar","CPC_Class_Cn","CPC_Class_Ru","CPC_Group_En","CPC_Group_Fr","CPC_Group_Es","CPC_Group_Ar","CPC_Group_Cn","CPC_Group_Ru"
"GUS","228001006902","3417","Guinea shrimp","Crevette guinéenne","Camarón guineo","","","","Holthuispenaeopsis atlantica","(Balss 1914)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Other shrimps and prawns, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"TIT","228001002202","3418","Pacific seabob","Crevette seabob","Camarón botalón","","","","Xiphopenaeus riveti","Bouvier 1907","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Other shrimps and prawns, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"TRV","228001006801","3419","Southern rough shrimp","Crevette-archer","Camarón fijador arquero","إيربيان خشنة جنوبية","鹰爪虾","","Trachysalambria curvirostris","(Stimpson 1860)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Other shrimps and prawns, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"ARI","2280020XXXXX","3420","Aristeid shrimps nei","Gambons,crevet. aristeidés nca","Gambas aristeidos nep","","","","Aristeidae","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Other shrimps and prawns, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"SSH","228002003201","3421","Scarlet shrimp","Gambon écarlate","Gamba carabinero","","","","Aristaeopsis edwardsiana","(Johnson 1868)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Other shrimps and prawns, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"ARA","228002003101","3422","Blue and red shrimp","Crevette rouge","Gamba rosada","","","","Aristeus antennatus","(Risso 1816)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Other shrimps and prawns, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"PDZ","2280040XXXXX","3423","Pandalid shrimps nei","Crevettes pandalides nca","Camarones pandálidos nep","","","","Pandalidae","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"PSH","2280040XXXXX025","3424","Pacific shrimps nei","Crevettes océan Pacifique nca","Camarones Océano Pacífico nep","","","","Pandalus spp, Pandalopsis spp","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"PRA","228004000203","3425","Northern prawn","Crevette nordique","Camarón norteño","","","Креветка северная","Pandalus borealis","Krøyer 1838","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"AES","228004000205","3426","Aesop shrimp","Crevette ésope","Camarón esópico","","","","Pandalus montagui","Leach 1814","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"SHS","2280070XXXXX","3427","Sergestid shrimps nei","Crevettes sergestid nca","Camarones sergéstidos nep","","","","Sergestidae","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Other shrimps and prawns, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"AKS","228007000903","3428","Akiami paste shrimp","Chevrette akiami","Camaroncillo akiami","","","","Acetes japonicus","Kishinouye 1905","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Other shrimps and prawns, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"PPZ","2280120XXXXX045","3429","Freshwater prawns, shrimps nei","Crevettes d'eau douce nca","Gambas,camaron.(agua dulce)nep","","","Креветки пресноводные","Palaemonidae","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Freshwater crustaceans","Crustacés d'eau douce","Crustáceos de agua dulce","","","","Other shrimps and prawns, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"PAL","2280120XXXXX046","3430","Palaemonid shrimps nei","Crevettes palémonides nca","Camarones palemónidos nep","","","","Palaemonidae","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Other shrimps and prawns, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"PPF","2280120023XX","3431","River prawns nei","Bouquets d'eau douce nca","Camarones de agua dulce nep","","","Креветки речные","Macrobrachium spp","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Freshwater crustaceans","Crustacés d'eau douce","Crustáceos de agua dulce","","","","Other shrimps and prawns, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"MBA","228012002308","3432","Amazonian river prawn","Bouquet d'Amazone","Camarón amazónico","","","","Macrobrachium amazonicum","Heller 1862","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Freshwater crustaceans","Crustacés d'eau douce","Crustáceos de agua dulce","","","","Other shrimps and prawns, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"MBM","228012002309","3433","Monsoon river prawn","Bouquet mousson","Camarón monzón","إيربيان كبير نهر ريح موسمية","间歇水沼虾","","Macrobrachium malcolmsonii","(H. Milne Edwards 1844)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Freshwater crustaceans","Crustacés d'eau douce","Crustáceos de agua dulce","","","","Other shrimps and prawns, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"CNZ","2280230003XX","3434","Crangon shrimps nei","Crevettes Crangon nca","Camarones Crangón nep","","","","Crangon spp","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"CSH","228023000303","3435","Common shrimp","Crevette grise","Quisquilla","","","Креветка песчаная","Crangon crangon","(Linnaeus 1758)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"SOZ","2280290XXXXX","3436","Solenocerid shrimps nei","Salicoques, solénocères nca","Camarones solenoceros nep","","","","Solenoceridae","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Other shrimps and prawns, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"LAA","228029000601","3437","Argentine red shrimp","Salicoque rouge d'Argentine","Camarón langostín argentino","","","","Pleoticus muelleri","(Bate 1888)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Other shrimps and prawns, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"SOK","228029007201","3438","Kolibri shrimp","Salicoque colibrí","Camarón chupaflor","","","","Solenocera agassizii","Faxon 1893","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Other shrimps and prawns, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"KNI","2280290073XX","3439","Knife shrimps nei","Salicoques-couteau nca","Camarones navaja nep","","","","Haliporoides spp","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Other shrimps and prawns, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"JAQ","228029007302","3440","Jack-knife shrimp","Salicoque canif","Camarón cortapluma","","","","Haliporoides sibogae","(De Man 1907)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Shrimps, prawns","Crevettes","Gambas, camarones","","","","Other shrimps and prawns, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"AYS","2290XXXXXXXX031","3441","Euro-American crayfishes nei","Écrevisses euro-américain. nca","Cangrejos de río nep","","","Раки речные евро-американские","Astacidae, Cambaridae","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Freshwater crustaceans","Crustacés d'eau douce","Crustáceos de agua dulce","","","","Other crustaceans, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"VLO","2290010XXXXX","3442","Spiny lobsters nei","Langoustes diverses nca","Langostas diversas nep","","","","Palinuridae","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Lobsters, spiny-rock lobsters","Homards, langoustes","Bogavantes, langostas","","","","Rock lobster and other sea crawfish, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"SLV","2290010001XX","3443","Tropical spiny lobsters nei","Langoustes tropicales nca","Langostas tropicales nep","","","Лангусты тропические колючие","Panulirus spp","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Lobsters, spiny-rock lobsters","Homards, langoustes","Bogavantes, langostas","","","","Rock lobster and other sea crawfish, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"LMS","229001000105","3444","Mud spiny lobster","Langouste de vase","Langosta fanguera","جراد البحر وَحلِية","黄斑龙虾","","Panulirus polyphagus","(Herbst 1793)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Lobsters, spiny-rock lobsters","Homards, langoustes","Bogavantes, langostas","","","","Rock lobster and other sea crawfish, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"SLC","229001000108","3445","Caribbean spiny lobster","Langouste blanche","Langosta común del Caribe","","","","Panulirus argus","(Latreille 1804)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Lobsters, spiny-rock lobsters","Homards, langoustes","Bogavantes, langostas","","","","Rock lobster and other sea crawfish, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"LOK","229001000113","3446","Scalloped spiny lobster","Langouste festonnée","Langosta festoneada","","","","Panulirus homarus","(Linnaeus 1758)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Lobsters, spiny-rock lobsters","Homards, langoustes","Bogavantes, langostas","","","","Rock lobster and other sea crawfish, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"LBC","229001000201","3447","Cape rock lobster","Langouste du Cap","Langosta del Cabo","","","","Jasus lalandii","(H. Milne Edwards 1837)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Lobsters, spiny-rock lobsters","Homards, langoustes","Bogavantes, langostas","","","","Rock lobster and other sea crawfish, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"LOF","229001000202","3448","Juan Fernandez rock lobster","Langouste Juan Fernandez","Langosta de Juan Fernández","","","","Jasus frontalis","(H. Milne Edwards 1837)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Lobsters, spiny-rock lobsters","Homards, langoustes","Bogavantes, langostas","","","","Rock lobster and other sea crawfish, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"LBT","229001000205","3449","Tristan da Cunha rock lobster","Langouste de Tristan da Cunha","Langosta de Tristán da Cunha","","","","Jasus tristani","Holthuis 1963","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Lobsters, spiny-rock lobsters","Homards, langoustes","Bogavantes, langostas","","","","Rock lobster and other sea crawfish, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"LOR","229001000206","3450","Red rock lobster","","Langosta roja","","","","Jasus edwardsii","(Hutton 1875)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Lobsters, spiny-rock lobsters","Homards, langoustes","Bogavantes, langostas","","","","Rock lobster and other sea crawfish, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"CRW","2290010008XX","3451","Palinurid spiny lobsters nei","Langoustes Palinurus nca","Langostas Palinurus nep","","","Лангусты глубоководные","Palinurus spp","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Lobsters, spiny-rock lobsters","Homards, langoustes","Bogavantes, langostas","","","","Rock lobster and other sea crawfish, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"SLO","229001000804","3452","Common spiny lobster","Langouste rouge","Langosta común","","","","Palinurus elephas","(Fabricius 1787)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Lobsters, spiny-rock lobsters","Homards, langoustes","Bogavantes, langostas","","","","Rock lobster and other sea crawfish, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"SLS","229001000806","3453","Southern spiny lobster","Langouste du Sud","Langosta del Sur","جراد البحر جنوبي","南非真龙虾","","Palinurus gilchristi","Stebbing 1900","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Lobsters, spiny-rock lobsters","Homards, langoustes","Bogavantes, langostas","","","","Rock lobster and other sea crawfish, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"RCW","229004000101","3454","Red swamp crawfish","Écrevisse rouge de marais","Cangrejo de las marismas","","克氏原螯虾","Рак болотный красный (=рак флоридский красный)","Procambarus clarkii","(Girard 1852)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Freshwater crustaceans","Crustacés d'eau douce","Crustáceos de agua dulce","","","","Other crustaceans, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"CRD","229003002701","3455","Danube crayfish","Écrevisse à pattes grêles","Cangrejo de patas punteadas","","","Рак длиннопалый","Astacus leptodactylus","Eschscholz 1823","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Freshwater crustaceans","Crustacés d'eau douce","Crustáceos de agua dulce","","","","Other crustaceans, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"ORL","229004000202","3456","Spinycheek crayfish","Écrevisse américaine","","","","","Orconectes limosus","(Rafinesque 1817)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Freshwater crustaceans","Crustacés d'eau douce","Crustáceos de agua dulce","","","","Other crustaceans, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"AUP","229003013901","3457","White-clawed crayfish","Écrevisse à pattes blanches","Cangrejo a pinzas blancas","سرطان البحرأبيض الأرجل","白螯南方河螯虾","","Austropotamobius pallipes","(Lereboullet 1858)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Freshwater crustaceans","Crustacés d'eau douce","Crustáceos de agua dulce","","","","Other crustaceans, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"CJF","2290050XXXXX","3458","Oceanian crayfishes nei","Écrevisses océaniennes nca","Cangrejos río de Oceanía nep","","","","Parastacidae","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Freshwater crustaceans","Crustacés d'eau douce","Crustáceos de agua dulce","","","","Other crustaceans, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"AYA","229005015801","3459","Australian crayfish","Écrevisse d'Australie","Cangrejo de río de Australia","","","","Euastacus armatus","(von Martens 1866)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Freshwater crustaceans","Crustacés d'eau douce","Crustáceos de agua dulce","","","","Other crustaceans, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"CRK","231009001003","3460","Atlantic rock crab","Tourteau poïnclos","Jaiba de roca amarilla","","","","Cancer irroratus","Say 1817","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Crabs, sea-spiders","Crabes, araignées de mer","Cangrejos, centollas","","","","Crabs, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"DUN","231009001004","3461","Dungeness crab","Dormeur du Pacifique","Buey del Pacífico","","","","Cancer magister","Dana 1852","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Crabs, sea-spiders","Crabes, araignées de mer","Cangrejos, centollas","","","","Crabs, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"CRJ","231009001007","3462","Jonah crab","Tourteau jona","Jaiba de roca jonás","","","","Cancer borealis","Stimpson 1859","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Crabs, sea-spiders","Crabes, araignées de mer","Cangrejos, centollas","","","","Crabs, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"ROC","231009001008","3463","Pacific rock crab","Tourteau du Pacifique","Jaiba del Pacífico","","","","Cancer productus","Randall 1839","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Crabs, sea-spiders","Crabes, araignées de mer","Cangrejos, centollas","","","","Crabs, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"SWM","2310110XXXXX","3464","Swimming crabs, etc. nei","Crabes, étrilles, etc. nca","Jaibas, cangrejos, etc. nep","","","","Portunidae","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Crabs, sea-spiders","Crabes, araignées de mer","Cangrejos, centollas","","","","Crabs, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"CRS","2310110004XX","3465","Portunus swimcrabs nei","Étrilles Portunus nca","Jaibas Portunus nep","","","","Portunus spp","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Crabs, sea-spiders","Crabes, araignées de mer","Cangrejos, centollas","","","","Crabs, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"ERS","231013002803","3466","Chinese mitten crab","Crabe chinois","Cangrejo chino","سرطان صينيّ","中华绒毛蟹","Краб китайский мохнаторукий","Eriocheir sinensis","H. Milne Edwards 1853","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Freshwater crustaceans","Crustacés d'eau douce","Crustáceos de agua dulce","","","","Other crustaceans, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"LOS","2290150XXXXX","3467","Slipper lobsters nei","Cigales nca","Cigarros nep","","","","Scyllaridae","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Lobsters, spiny-rock lobsters","Homards, langoustes","Bogavantes, langostas","","","","Other crustaceans, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"LOQ","2300190XXXXX","3468","Craylets, squat lobsters nei","Galathées nca","Camaroncillos, langostinos nep","قلتيدات","铠甲虾科","","Galatheidae","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","King crabs, squat-lobsters","Crabes royaux, galatées","Cangrejos reales, galateidos","","","","Other crustaceans, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"KCX","2300200XXXXX","3469","King crabs, stone crabs nei","Crabes royaux, etc. nca","Centollas, centollones nep","","","Крабоидовые","Lithodidae","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","King crabs, squat-lobsters","Crabes royaux, galatées","Cangrejos reales, galateidos","","","","Other crustaceans, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"KCZ","2300200070XX","3470","King crabs nei","Crabes royaux nca","Centollas nep","","","","Lithodes spp","","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","King crabs, squat-lobsters","Crabes royaux, galatées","Cangrejos reales, galateidos","","","","Other crustaceans, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"KCR","230020007001","3471","Southern king crab","Crabe royal de Patagonie","Centolla patagónica","","","","Lithodes santolla","Jacquinot 1853","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","King crabs, squat-lobsters","Crabes royaux, galatées","Cangrejos reales, galateidos","","","","Other crustaceans, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"KCT","230020007003","3472","Stone king crab","Crabe royal de roche","Centolla de roca","","","","Lithodes maja","(Linnaeus 1758)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","King crabs, squat-lobsters","Crabes royaux, galatées","Cangrejos reales, galateidos","","","","Other crustaceans, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"PAG","230020012301","3473","Softshell red crab","Crabe royal hérisson","Centollón","سرطان ملكيّ قنفذيّ","软壳拟结节蟹","","Paralomis granulosa","(Jacquinot 1852)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","King crabs, squat-lobsters","Crabes royaux, galatées","Cangrejos reales, galateidos","","","","Other crustaceans, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"KCU","230020012302","3474","Red stone crab","Crabe royal rouge","Centolla colorada","","","","Paralomis aculeata","Henderson 1888","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","King crabs, squat-lobsters","Crabes royaux, galatées","Cangrejos reales, galateidos","","","","Other crustaceans, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"KCV","230020012303","3475","Antarctic stone crab","Crabe royal de l'Antarctique","Centolla antártica","سرطان ملكيّ قطبيّ جنوبيّ","南极拟结节蟹","","Paralomis spinosissima","(Birstein y Vinogradov 1972)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","King crabs, squat-lobsters","Crabes royaux, galatées","Cangrejos reales, galateidos","","","","Other crustaceans, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
"SCR","231021000501","3476","Spinous spider crab","Araignée européenne","Centolla europea","","","","Maja squinado","(Herbst 1788)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Poissons, crustacés, mollusques, etc.","Peces, crustáceos, moluscos, etc.","","","","Crabs, sea-spiders","Crabes, araignées de mer","Cangrejos, centollas","","","","Crabs, live, fresh or chilled","","","","","","Crustaceans, live, fresh or chilled","","","","",""
